               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.045388,            0.027008,                   0,             0.86891,             0.82353,             0.91412,             0.57854,            0.037955,           0.0074592,                   0,            0.025073,           0.0080727,           0.0080727
                  84,            0.048939,            0.027098,                   0,             0.79794,             0.69738,             0.87733,             0.41086,            0.053468,           0.0079029,                   0,            0.024167,           0.0081672,           0.0081672
                  85,            0.049306,             0.02612,                   0,             0.56423,             0.91452,              0.7474,             0.37443,            0.061425,           0.0081797,                   0,            0.023262,           0.0082616,           0.0082616
                  86,            0.056685,            0.029159,                   0,             0.50943,             0.88235,             0.75904,             0.32433,            0.048276,           0.0075469,                   0,            0.022356,           0.0083559,           0.0083559
                  87,            0.053215,            0.019481,                   0,              0.5222,             0.88235,             0.75438,             0.47189,            0.049107,           0.0073256,                   0,             0.02145,           0.0084502,           0.0084502
                  88,            0.050453,            0.026084,                   0,             0.81009,             0.82353,             0.82842,             0.37574,            0.040608,           0.0067141,                   0,            0.020544,           0.0085444,           0.0085444
                  89,            0.043131,            0.020006,                   0,             0.61984,             0.86375,             0.80733,             0.42093,            0.055327,              0.0067,                   0,            0.019639,           0.0086386,           0.0086386
                  90,             0.04989,            0.020338,                   0,             0.83984,             0.88235,             0.91513,             0.52862,            0.047096,           0.0064082,                   0,            0.018733,           0.0087327,           0.0087327
                  91,            0.045455,            0.024882,                   0,             0.61934,             0.86195,             0.80512,             0.53812,             0.04029,           0.0072217,                   0,            0.017827,           0.0088267,           0.0088267
                  92,            0.049468,            0.020675,                   0,             0.81562,             0.76471,             0.90369,             0.33956,            0.048669,           0.0073738,                   0,            0.016921,           0.0089207,           0.0089207
                  93,            0.046371,            0.028666,                   0,             0.68736,             0.82353,             0.84288,             0.45379,            0.044586,           0.0068946,                   0,            0.016015,           0.0090146,           0.0090146
                  94,            0.043925,            0.021011,                   0,             0.74272,             0.82353,             0.85162,             0.31689,            0.046457,           0.0074472,                   0,            0.015108,           0.0091084,           0.0091084
                  95,            0.050606,            0.019248,                   0,              0.7242,             0.88235,             0.80379,             0.52044,            0.033197,           0.0068049,                   0,            0.014202,           0.0092022,           0.0092022
                  96,            0.043799,            0.021361,                   0,             0.88725,             0.82353,             0.92886,             0.42475,              0.0494,            0.006887,                   0,            0.013296,           0.0092959,           0.0092959
                  97,            0.046487,            0.020435,                   0,             0.71867,             0.82353,             0.84161,              0.3601,            0.048425,           0.0069211,                   0,             0.01239,           0.0093895,           0.0093895
                  98,            0.043713,            0.016517,                   0,             0.74807,             0.82353,               0.793,             0.40921,            0.054876,            0.006557,                   0,            0.011483,           0.0094831,           0.0094831
                  99,            0.043287,            0.022958,                   0,             0.60442,             0.82353,             0.78417,              0.4353,            0.042501,           0.0073173,                   0,            0.010577,           0.0095766,           0.0095766
                 100,            0.047552,            0.028083,                   0,             0.79072,             0.88934,             0.85634,             0.38311,            0.039398,           0.0070987,                   0,             0.00967,             0.00967,             0.00967
                 101,            0.040055,            0.020094,                   0,             0.54829,             0.82353,             0.72343,             0.36472,              0.0532,           0.0080416,                   0,             0.00967,             0.00967,             0.00967
                 102,            0.051484,            0.020565,                   0,             0.67909,             0.87176,             0.88048,             0.41091,            0.041693,           0.0068333,                   0,           0.0096667,           0.0096667,           0.0096667
                 103,            0.036743,            0.019878,                   0,             0.64003,             0.88235,             0.72215,             0.39118,            0.049963,           0.0074885,                   0,           0.0096634,           0.0096634,           0.0096634
                 104,            0.047941,            0.017366,                   0,             0.78777,             0.87381,              0.8878,             0.37196,            0.051283,           0.0069063,                   0,           0.0096601,           0.0096601,           0.0096601
                 105,            0.044632,            0.020991,                   0,             0.61506,             0.88235,              0.7752,             0.48094,            0.042205,           0.0070059,                   0,           0.0096568,           0.0096568,           0.0096568
                 106,             0.03908,            0.019943,                   0,             0.69908,             0.88235,             0.76033,             0.25769,            0.042727,           0.0072799,                   0,           0.0096535,           0.0096535,           0.0096535
                 107,            0.043699,            0.016941,                   0,              0.6048,             0.99052,             0.78677,              0.4658,            0.038082,           0.0067103,                   0,           0.0096502,           0.0096502,           0.0096502
                 108,            0.040227,             0.01813,                   0,             0.80275,             0.76471,             0.85832,             0.41492,            0.043035,           0.0065615,                   0,           0.0096469,           0.0096469,           0.0096469
                 109,            0.039985,            0.026462,                   0,             0.70973,             0.71973,             0.85051,             0.42934,            0.041949,            0.006644,                   0,           0.0096436,           0.0096436,           0.0096436
                 110,            0.038797,            0.022094,                   0,             0.81402,             0.82353,             0.89917,             0.53979,            0.043329,            0.006829,                   0,           0.0096403,           0.0096403,           0.0096403
                 111,            0.038642,            0.020168,                   0,             0.71292,                   1,             0.86663,             0.53877,            0.030571,           0.0074551,                   0,            0.009637,            0.009637,            0.009637
